--_curl_--https://www.wunderground.com/history/airport/ORF/2015/08/01/DailyHistory.html?&format=1

TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,75.0,66.0,73,29.92,10.0,South,4.6,-,N/A,,Clear,190,2015-08-01 04:51:00<br />
1:51 AM,73.9,66.0,76,29.91,10.0,SSW,4.6,-,N/A,,Clear,200,2015-08-01 05:51:00<br />
2:51 AM,73.0,66.0,79,29.90,10.0,SSW,5.8,-,N/A,,Clear,210,2015-08-01 06:51:00<br />
3:51 AM,72.0,64.9,78,29.89,10.0,SSW,4.6,-,N/A,,Clear,210,2015-08-01 07:51:00<br />
4:51 AM,72.0,64.9,78,29.89,10.0,SW,8.1,-,N/A,,Clear,220,2015-08-01 08:51:00<br />
5:51 AM,72.0,64.9,78,29.89,10.0,SSW,8.1,-,N/A,,Clear,210,2015-08-01 09:51:00<br />
6:51 AM,73.0,66.0,79,29.90,10.0,SSW,8.1,-,N/A,,Clear,210,2015-08-01 10:51:00<br />
7:51 AM,77.0,68.0,74,29.92,10.0,WSW,5.8,-,N/A,,Clear,250,2015-08-01 11:51:00<br />
8:51 AM,81.0,69.1,67,29.92,10.0,WSW,8.1,-,N/A,,Clear,240,2015-08-01 12:51:00<br />
9:51 AM,84.0,69.1,61,29.91,10.0,SW,6.9,-,N/A,,Clear,220,2015-08-01 13:51:00<br />
10:51 AM,87.1,66.0,49,29.92,10.0,West,8.1,-,N/A,,Clear,270,2015-08-01 14:51:00<br />
11:51 AM,88.0,63.0,43,29.92,10.0,SW,3.5,-,N/A,,Scattered Clouds,230,2015-08-01 15:51:00<br />
12:51 PM,87.1,60.1,40,29.91,10.0,Variable,3.5,-,N/A,,Mostly Cloudy,0,2015-08-01 16:51:00<br />
1:51 PM,88.0,60.1,39,29.88,10.0,South,9.2,-,N/A,,Scattered Clouds,180,2015-08-01 17:51:00<br />
2:51 PM,88.0,68.0,51,29.87,10.0,NE,10.4,-,N/A,,Mostly Cloudy,40,2015-08-01 18:51:00<br />
3:51 PM,88.0,64.9,46,29.86,10.0,NE,9.2,-,N/A,,Mostly Cloudy,40,2015-08-01 19:51:00<br />
4:51 PM,89.1,66.0,46,29.85,10.0,East,6.9,-,N/A,,Mostly Cloudy,80,2015-08-01 20:51:00<br />
5:51 PM,87.1,70.0,57,29.84,10.0,ENE,8.1,-,N/A,,Partly Cloudy,60,2015-08-01 21:51:00<br />
6:51 PM,87.1,70.0,57,29.85,10.0,East,5.8,-,N/A,,Clear,90,2015-08-01 22:51:00<br />
7:51 PM,84.0,69.1,61,29.86,10.0,SE,5.8,-,N/A,,Clear,140,2015-08-01 23:51:00<br />
8:51 PM,82.0,69.1,65,29.86,10.0,SSE,3.5,-,N/A,,Clear,160,2015-08-02 00:51:00<br />
9:51 PM,81.0,70.0,69,29.88,10.0,South,5.8,-,N/A,,Clear,180,2015-08-02 01:51:00<br />
10:51 PM,79.0,68.0,69,29.88,10.0,South,5.8,-,N/A,,Clear,190,2015-08-02 02:51:00<br />
11:51 PM,78.1,70.0,76,29.88,10.0,South,5.8,-,N/A,,Clear,190,2015-08-02 03:51:00<br />
